source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
354463.3954404926,235214402672.6383,484989.07479719404,747563.1935129582,1124364532363.1318,1060360.5671483318,500204.1165292659,541421618381.1717,735813.575833697,69437165.99022265,33.60606048191124,0.2725869522968686,1.0,0.3148641100693768
323996.8344471258,190706589215.60593,436699.65561654145,1013093.5854250181,1619276575110.2507,1272507.9862658037,514414.3350367519,562154391588.0529,749769.5589899959,95023733.98193774,35.974207763598024,0.25608619483971906,1.0,0.2418740282809578
310832.6859011606,172574289087.36966,415420.6170706621,665599.9858034198,773871299553.3944,879699.5507293353,447117.94643589517,384926043829.53955,620424.083856792,62456050.56197599,35.674813776284736,0.258137367527206,1.0,0.27760914406837967
400131.99511762697,322024324073.0457,567471.8707328547,1113070.4259029755,2453856690361.557,1566479.0743452518,537152.2818333277,668631533033.7855,817698.9256650553,107617858.1733504,33.01051284890727,0.27755513322953745,1.0,0.41925775630027057
268499.03812682093,117465430467.39153,342732.3014648481,690182.2996766539,856016474107.4832,925211.5834269928,497682.8357514758,464470683162.942,681520.860401897,62844527.021562785,36.37059631179503,0.25058938727447755,1.0,0.3178333124887089
363287.48695390264,247036472608.981,497027.63767116715,1087455.0835254232,2133062605890.1162,1460500.8065352503,473248.8123725818,372947553106.8772,610694.3205130347,107689831.02006818,37.68260312886405,0.24366440134607537,1.0,0.3480261303513869
235961.23509827716,101312027430.90791,318295.50331556355,595059.5844828896,702752540062.5394,838303.3699458325,430889.0147098715,474391867289.97095,688761.1104657194,52593134.262029886,35.303777185902554,0.2615798941360257,1.0,0.34630479556097876
348410.9807901783,228030893114.49283,477525.8036111691,767879.976128898,1245585088158.6475,1116057.8336979887,523546.34102607437,805911434732.3779,897725.7012764968,73309066.2596514,34.34968263657838,0.2666264918940778,1.0,0.2399317805423661
262388.4430363943,118877133128.62689,344785.633587925,625682.2931651147,734879628854.58,857251.2052220049,497974.2613921227,571714730545.0044,756118.1987923611,53546506.8433995,34.70429830505037,0.2653111843475406,1.0,0.28253234249666553
310594.52889567526,205675880386.752,453515.0277408148,828385.8212435805,1250030420391.729,1118047.593079887,442963.7214251442,342502455801.3873,585237.0936649414,78137171.67416048,33.77801089385461,0.2728976534965273,1.0,0.2556414364148066
599782.551675011,943188897252.9895,971179.127274155,1067585.3052194356,2019056029051.444,1420934.9137280863,546538.7435904726,647220605881.6774,804500.2211818697,99827742.8251245,36.448165466389156,0.25357255217868563,1.0,0.32084253528246204
381815.8727100155,261479609807.03217,511350.7698312697,743696.6802206293,953350312236.7169,976396.5957728022,470818.13294577086,470204432507.93964,685714.5415608011,68425346.34209473,36.35790650633732,0.2535392730206827,1.0,0.24244672630551203
308820.326674803,170397139798.26962,412791.884365802,671995.9938506169,949208621624.8152,974273.3813590594,552034.880075775,651832709776.787,807361.5731360931,62891105.66428577,36.062666604726054,0.2588141639214286,1.0,0.2911549818303935
362852.3851329212,265436835339.43732,515205.6243282262,760682.1834508653,1141973945079.768,1068631.809876427,519019.35125441075,506433365539.32416,711641.3180383248,72726093.0984645,35.640454768794626,0.25845330566380964,1.0,0.28536835052815934
248783.88252297943,102549838000.48418,320234.03629296523,693693.0993654705,991191484322.6552,995586.0004653818,552081.9376144261,744768475250.0135,862999.695973303,65691153.35492866,33.47720638130952,0.27362795644794974,1.0,0.27304787818895254
459946.51786735473,867659995028.9166,931482.6863817258,1151096.2862821757,2533579360610.402,1591722.1367469896,563970.2066114345,740171917547.8656,860332.4459462549,111972277.6574101,38.026789268990704,0.2436221348970546,1.0,0.3433367318657088
304267.9464785711,169641846522.05682,411876.0086750099,980749.4459559578,1645068086660.0435,1282602.0765069902,514468.8296628993,602127824347.8562,775968.9583661554,90217527.07084715,36.904795987541405,0.24603104754993557,1.0,0.3844678138437171
285272.1988759794,131421458380.14407,362520.9764691473,770369.0337198798,1029616241165.4313,1014700.0744877431,532822.0362650638,551107039618.72,742365.8394745275,69892287.34620553,35.585989832090064,0.2589468985053477,1.0,0.23766625390626256
341322.8807753008,224105193763.68216,473397.50079999596,689368.015014086,1013689125297.5359,1006821.2975983056,529969.105945569,604532036663.8464,777516.582886723,62871290.43873011,34.4877457032144,0.2669174543908158,1.0,0.31020781351415005
281893.1679973255,151945056955.88947,389801.30445637234,1001585.6019436796,1780836796635.459,1334479.9723620655,527040.9803817188,518249243856.3951,719895.3006211355,93154476.67332761,36.312478181433875,0.25119989027596756,1.0,0.3423351002784504
266641.4959519432,114682471087.7434,338648.00470066763,778948.8287730173,1150446868210.0806,1072588.8626170238,535715.7110592152,674697573050.6007,821399.7644573565,72052305.11851822,32.99571532899554,0.2790974092938791,1.0,0.34593670183557446
313648.5015155307,179556951482.8984,423741.60933627747,752511.0280500699,1201095136130.0542,1095944.8599861464,527396.2673135961,723539100510.0607,850611.0159820766,66970257.16751431,34.7414335332419,0.2648476579397984,1.0,0.23930633763219372
285633.9717834638,138262295971.34525,371836.3833345861,670906.864905204,773297344291.5863,879373.2678968507,481858.0418441636,402743021758.8989,634620.3760981039,63383664.358922765,37.19226164332324,0.24870288605017152,1.0,0.2492085233182409
371391.3763238661,266946677042.8405,516668.82724124216,818031.5340954791,1886063302102.9075,1373340.1989685248,543954.6526996281,1211456817014.718,1100661.9903561303,78307778.98659198,35.20158639085554,0.2597810776024351,1.0,0.23136691824601915
279629.0952066322,142892118503.54282,378010.7386087634,537344.4830407082,537059965276.0386,732843.7522937878,437140.0295841526,353540111323.53925,594592.3909061898,47156805.94607252,33.55846407058645,0.27258278930400986,1.0,0.28357068322176326
419830.2772135774,341389157415.5245,584285.167889383,730063.5891486809,986060952987.7405,993006.0186060005,476582.2037756885,506368711227.6936,711595.8903954502,69984755.04008096,34.683930430085944,0.264998987594322,1.0,0.2484043640984428
350327.542273117,246126741937.00784,496111.62245709164,801754.0274869673,984373934374.2362,992156.2046241692,500134.3984438102,387402521691.96796,622416.6785136529,71848856.12122507,37.61195966379335,0.24438069726784994,1.0,0.2330713208823621
299309.31792186946,165700105218.13443,407062.77798164554,773311.2855116697,1056851380004.9155,1028032.7718535608,527729.7886657317,578834501648.4072,760811.7386373631,74919477.01943737,32.45195943580369,0.2832900045951134,1.0,0.31983090458349295
337851.05308584333,216148085540.40115,464917.288923956,768911.4514537792,1076704423609.4851,1037643.688175033,529433.9026285368,654299527243.6215,808887.8335366539,69983540.98492153,33.060875215992674,0.27940206000157997,1.0,0.22601510455743404
335165.5129280212,243418354614.56595,493374.45679176174,722802.9469019126,889831134362.8235,943308.610351259,507712.05475109385,474022685367.2654,688493.0539716907,68226711.10359551,36.36213902837391,0.2520560152420485,1.0,0.23982385877087853
283263.01953736064,136024711769.43773,368815.2813664826,853184.6097472213,1192910027177.089,1092204.205804523,466773.66045619035,320315095348.1584,565963.8639950067,79799738.04581746,36.14542701411869,0.2536836563060512,1.0,0.3153550802996035
