target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1,transfer_score
0.9041666666666667,0.9292035398230089,0.875,0.9012875536480688,0.525,0.5238095238095238,0.55,0.5365853658536585,0.655,0.6631578947368421,0.63,0.6461538461538461,15.087821008316055
0.9125,0.9304347826086956,0.8916666666666667,0.9106382978723404,0.585,0.5913978494623656,0.55,0.5699481865284974,0.635,0.6391752577319587,0.62,0.6294416243654821,12.955013127835295
0.9,0.9363636363636364,0.8583333333333333,0.8956521739130435,0.59,0.6022727272727273,0.53,0.5638297872340425,0.59,0.59,0.59,0.59,15.519101786032786
0.9166666666666666,0.9310344827586207,0.9,0.9152542372881356,0.53,0.53125,0.51,0.5204081632653061,0.515,0.5151515151515151,0.51,0.5125628140703518,16.192433805908003
0.9208333333333333,0.954954954954955,0.8833333333333333,0.9177489177489178,0.52,0.5196078431372549,0.53,0.5247524752475248,0.615,0.6185567010309279,0.6,0.6091370558375634,13.977659403006832
0.9166666666666666,0.9545454545454546,0.875,0.9130434782608695,0.475,0.47619047619047616,0.5,0.4878048780487805,0.535,0.5376344086021505,0.5,0.5181347150259067,17.413436365031394
0.9041666666666667,0.944954128440367,0.8583333333333333,0.8995633187772926,0.485,0.48514851485148514,0.49,0.48756218905472637,0.51,0.5104166666666666,0.49,0.4999999999999999,18.005313703160155
0.8875,0.8974358974358975,0.875,0.8860759493670887,0.56,0.5652173913043478,0.52,0.5416666666666667,0.6,0.6020408163265306,0.59,0.5959595959595959,14.862501478169294
0.9208333333333333,0.9469026548672567,0.8916666666666667,0.9184549356223176,0.44,0.4491525423728814,0.53,0.48623853211009177,0.555,0.5578947368421052,0.53,0.5435897435897435,16.121700557212847
0.9166666666666666,0.9629629629629629,0.8666666666666667,0.912280701754386,0.49,0.49137931034482757,0.57,0.5277777777777778,0.545,0.5483870967741935,0.51,0.5284974093264249,17.43885416524835
0.9125,0.9090909090909091,0.9166666666666666,0.9128630705394191,0.455,0.45714285714285713,0.48,0.4682926829268293,0.57,0.5673076923076923,0.59,0.5784313725490196,17.251415861240094
0.8875,0.918918918918919,0.85,0.8831168831168831,0.505,0.5053763440860215,0.47,0.48704663212435234,0.525,0.5233644859813084,0.56,0.5410628019323671,15.047458029200259
0.925,0.9636363636363636,0.8833333333333333,0.9217391304347826,0.645,0.6435643564356436,0.65,0.6467661691542289,0.64,0.64,0.64,0.64,17.21500268742676
0.9083333333333333,0.9298245614035088,0.8833333333333333,0.905982905982906,0.56,0.5652173913043478,0.52,0.5416666666666667,0.57,0.57,0.57,0.57,12.772758775287159
0.9291666666666667,0.963963963963964,0.8916666666666667,0.9264069264069265,0.55,0.5446428571428571,0.61,0.5754716981132075,0.54,0.5408163265306123,0.53,0.5353535353535354,18.873164961044132
0.8875,0.911504424778761,0.8583333333333333,0.8841201716738197,0.72,0.7340425531914894,0.69,0.711340206185567,0.635,0.6451612903225806,0.6,0.6217616580310881,14.871812506879202
0.9125,0.9626168224299065,0.8583333333333333,0.9074889867841409,0.56,0.56,0.56,0.56,0.62,0.625,0.6,0.6122448979591836,14.274164035475861
0.9375,0.9487179487179487,0.925,0.9367088607594937,0.445,0.45132743362831856,0.51,0.47887323943661964,0.57,0.57,0.57,0.57,14.71176709138613
0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.43,0.43859649122807015,0.5,0.46728971962616817,0.54,0.54,0.54,0.54,15.904309905570416
0.8875,0.911504424778761,0.8583333333333333,0.8841201716738197,0.56,0.5652173913043478,0.52,0.5416666666666667,0.595,0.5959595959595959,0.59,0.5929648241206029,16.415461426568445
0.9166666666666666,0.9310344827586207,0.9,0.9152542372881356,0.57,0.5777777777777777,0.52,0.5473684210526315,0.605,0.6082474226804123,0.59,0.5989847715736041,11.944400820614039
0.9125,0.9380530973451328,0.8833333333333333,0.9098712446351931,0.66,0.6632653061224489,0.65,0.6565656565656566,0.63,0.6382978723404256,0.6,0.6185567010309279,15.219744961028992
0.9458333333333333,0.9734513274336283,0.9166666666666666,0.944206008583691,0.64,0.6428571428571429,0.63,0.6363636363636364,0.595,0.594059405940594,0.6,0.5970149253731343,18.507100801958185
0.9,0.9363636363636364,0.8583333333333333,0.8956521739130435,0.46,0.45918367346938777,0.45,0.45454545454545453,0.52,0.5212765957446809,0.49,0.5051546391752578,18.488981178869498
0.9208333333333333,0.9469026548672567,0.8916666666666667,0.9184549356223176,0.485,0.4838709677419355,0.45,0.46632124352331605,0.54,0.5425531914893617,0.51,0.5257731958762887,14.4417212200977
0.9375,0.9565217391304348,0.9166666666666666,0.9361702127659574,0.53,0.5283018867924528,0.56,0.5436893203883495,0.585,0.5876288659793815,0.57,0.5786802030456853,14.18934739336534
0.8791666666666667,0.9026548672566371,0.85,0.8755364806866952,0.515,0.5151515151515151,0.51,0.5125628140703518,0.56,0.5566037735849056,0.59,0.5728155339805824,15.40194931540534
0.8833333333333333,0.896551724137931,0.8666666666666667,0.8813559322033899,0.465,0.4606741573033708,0.41,0.43386243386243384,0.525,0.5268817204301075,0.49,0.5077720207253886,15.949892730746267
0.9416666666666667,0.9649122807017544,0.9166666666666666,0.9401709401709402,0.315,0.3543307086614173,0.45,0.3964757709251101,0.445,0.4444444444444444,0.44,0.4422110552763819,15.291648438217104
0.9291666666666667,0.9401709401709402,0.9166666666666666,0.9282700421940928,0.58,0.5754716981132075,0.61,0.5922330097087378,0.605,0.6082474226804123,0.59,0.5989847715736041,16.912919195468614
0.9,0.9210526315789473,0.875,0.8974358974358975,0.59,0.6,0.54,0.5684210526315789,0.58,0.5816326530612245,0.57,0.5757575757575758,17.02228700018358
0.9083333333333333,0.9224137931034483,0.8916666666666667,0.9067796610169492,0.515,0.5126050420168067,0.61,0.5570776255707762,0.6,0.6020408163265306,0.59,0.5959595959595959,14.807079661376179
0.9125,0.9380530973451328,0.8833333333333333,0.9098712446351931,0.51,0.5092592592592593,0.55,0.5288461538461539,0.605,0.6019417475728155,0.62,0.6108374384236454,13.929821576057481
0.9375,0.9565217391304348,0.9166666666666666,0.9361702127659574,0.61,0.627906976744186,0.54,0.5806451612903226,0.58,0.5833333333333334,0.56,0.5714285714285714,13.577406221725766
0.9041666666666667,0.9145299145299145,0.8916666666666667,0.9029535864978904,0.565,0.5619047619047619,0.59,0.5756097560975609,0.595,0.6,0.57,0.5846153846153846,14.011775950738445
0.9208333333333333,0.963302752293578,0.875,0.9170305676855894,0.65,0.6785714285714286,0.57,0.6195652173913043,0.595,0.6043956043956044,0.55,0.5759162303664922,16.168185410064368
0.9041666666666667,0.9369369369369369,0.8666666666666667,0.9004329004329005,0.545,0.5463917525773195,0.53,0.5380710659898477,0.645,0.6526315789473685,0.62,0.635897435897436,13.457909182925963
