label_code,trans_target_f1,delta_f1,trans_target_accuracy,delta_accuracy,div_score,w_dist,log_w_dist,inverse_div_score,sqrt_w_dist,inverse_log_w_dist
438.89,0.5683255533805149,0.01779265426127874,0.575,-0.25,127.71954455226191,8.934626491006779e-09,-18.53333149211793,0.00782965523018137,9.452315320071998e-05,-0.05395683989277867
995.92,0.7789518473867103,-0.037892124244495395,0.7791666666666667,-0.1908333333333333,77.41679013425674,8.787363573872086e-09,-18.549951104951813,0.012917094576845577,9.374093862273881e-05,-0.05390849788995159
998.12,0.5477719646400866,0.02346938953279043,0.5604166666666667,-0.24958333333333338,140.01384250053394,8.543223868131834e-09,-18.578127398258765,0.007142150962653472,9.242956165714427e-05,-0.05382673821548479
250.80,0.6209831254585474,-0.003199881077400324,0.6354166666666666,-0.2170833333333334,117.69120769657673,8.576782609413946e-09,-18.574206981019632,0.008496811440478463,9.26109205731913e-05,-0.05383809930738184
250.02,0.5787234042553192,0.009116856505190785,0.5875,-0.25249999999999995,130.8340257699742,8.689946687326155e-09,-18.561099032633138,0.0076432716498241035,9.321988354061678e-05,-0.05387612006389563
428.30,0.6477884040645547,0.01294705763780779,0.6416666666666667,-0.2483333333333333,125.67413600806834,8.32892399260945e-09,-18.60353156166704,0.007957086730525042,9.126293876820672e-05,-0.05375323479228646
327.23,0.6055361432627211,0.011295614524375663,0.6145833333333334,-0.21041666666666659,124.7329362665038,8.709969515482424e-09,-18.558797546032736,0.008017128674525907,9.332721744208612e-05,-0.05388280127091355
774.6,0.8846956571461246,0.08469565714612459,0.875,-0.05500000000000005,55.461156239241305,8.602111853429562e-09,-18.571258099480666,0.018030637437242144,9.274757060661785e-05,-0.05384664811846885
576.1,0.5470407967822257,-0.011208439578598517,0.5666666666666667,-0.2833333333333333,135.13054445122532,8.605340153285836e-09,-18.57088287833893,0.0074002513943910355,9.276497266363978e-05,-0.05384773607971
V45.89,0.5799592564298446,0.009844654154714583,0.5875,-0.25249999999999995,123.21947503087841,8.831865612001702e-09,-18.544899563559852,0.008115600230802827,9.397800600141345e-05,-0.05392318230533687
276.8,0.5278990513033066,0.01164669725434242,0.5479166666666666,-0.24208333333333343,129.60182056164615,8.82161764422212e-09,-18.546060577370213,0.007715940992698802,9.392346695167358e-05,-0.05391980662568275
414.8,0.6947379618466776,-0.0027410297499610436,0.6958333333333333,-0.1841666666666667,91.42975312243775,8.672101780629393e-09,-18.5631546556218,0.010937358637082334,9.312412029452624e-05,-0.053870153998698316
441.4,0.5586534264513313,0.013604725152630004,0.5666666666666667,-0.22583333333333333,129.51141334566853,8.456101609457069e-09,-18.588377572195103,0.0077213272109924415,9.195706394539285e-05,-0.053797056580980024
V58.65,0.5639896080424714,0.015398452976227661,0.5729166666666666,-0.24708333333333332,128.01968618209756,8.679320836442856e-09,-18.562322555984863,0.007811298635567514,9.31628726287616e-05,-0.053872568854676
412,0.659778911564626,0.008797440274954327,0.6583333333333333,-0.19666666666666666,109.9171961648083,8.640545897362826e-09,-18.56680007356124,0.009097757538325615,9.295453672286697e-05,-0.05385957709664685
E878.2,0.6202621829581078,0.01357450788807979,0.625,-0.25,125.90211913259618,8.536353160051132e-09,-18.578931950788373,0.007942678065226458,9.239238691608272e-05,-0.05382440727210728
995.91,0.5260889292196007,0.012305779300784137,0.5333333333333333,-0.3666666666666667,168.9840441933506,8.282559810241506e-09,-18.60911376050179,0.005917718473205704,9.100856998240059e-05,-0.05373711036806706
427.32,0.6249934885659219,0.0015538821440159722,0.625,-0.19999999999999996,113.65393704721009,8.542782011103698e-09,-18.57817911977067,0.008798639325486942,9.242717138971472e-05,-0.053826588362247636
V10.11,0.5391304347826087,-0.009891779001329093,0.5583333333333333,-0.25416666666666665,127.16290597501487,8.490787073931816e-09,-18.584284134921056,0.007863928496541918,9.214546692014651e-05,-0.05380890610259968
278.00,0.5768385220906319,0.011638393524335267,0.5791666666666667,-0.24583333333333324,124.28635684485414,8.40337014308039e-09,-18.594633004049786,0.008045935413878883,9.166989769319256e-05,-0.05377895868029268
428.22,0.7372735116479724,-0.008998402224145274,0.73125,-0.20875,96.79404916352453,8.349033300777963e-09,-18.601120077147705,0.010331213629782066,9.13730447165791e-05,-0.05376020346369056
