target_mae,target_rmse,source_mae,source_rmse,trans_source_mae,trans_source_rmse
339502.44668415166,497493.5511921354,1459298.0089386173,2036695.1251976558,911479.430011781,1741560.9358321368
371041.4800138201,519367.89665117144,720456.8440638045,1040445.8151680994,716195.8854089176,1052846.1720749869
326520.40224156354,488213.37342652516,993406.5938640498,1435485.292196216,782297.5999793664,1276927.139984071
254806.14782005717,353111.0943421274,911406.4988810305,1577270.7499356128,727055.3962957322,1441359.8716595597
658607.2421650429,1033461.7613954229,1159979.3704735597,1545221.6670280227,926936.3108427062,1408658.0798458725
297022.6743685007,465862.63460049994,786997.9688462125,1097397.2470137398,620495.0404729235,950960.9891590028
380343.6401317317,572480.3574280177,933084.6111594274,1434204.4085647564,777530.7973269124,1340756.9036457497
317469.24417732103,423635.6478280265,841303.353805647,1273473.5719428966,691391.4558083336,1160459.7705492899
262385.33615208714,353922.3905616977,877018.7393852095,1361978.04096425,770245.7289577649,1242320.7014526415
476106.9107777494,752253.68166788,827152.8245730761,1052749.9501628058,704794.7209456956,939839.7495795301
333235.39045453636,442707.10348190134,1031403.2450686092,1600540.8923741474,834512.8136971653,1568597.2808322143
596897.225893233,831427.7966123262,1468276.2904661251,1908833.2599636838,1054390.6761238857,1555214.753837805
310870.4991144094,429214.19121320074,781548.4569705155,1248905.0769361146,636283.7465481602,1071917.8285657435
371576.9931274814,506274.74106470053,1164766.2382767508,2109959.8810192947,979977.313003968,2080903.7012954268
288754.9521898521,401462.20879053656,797191.6823702214,1019916.2660814608,514211.0234917577,725850.3937281207
